teams
team_name,record,conference,division,manager
Arizona Diamondbacks,"69-93,",National,West,Chip Hale
Atlanta Braves,"68-93,",National,East,Fredi Gonzalez
Baltimore Orioles,"89-73,",American,East,Buck Showalter
Boston Red Sox,"93-69,",American,East,John Farrell
Chicago Cubs,"103-58,",National,Central,Joe Maddon
Chicago White Sox,"78-84,",American,Central,Robin Ventura
Cincinnati Reds,"68-94,",National,Central,Bryan Price
Cleveland Indians,"94-67,",American,Central,Terry Francona
Colorado Rockies,"75-87,",National,West,Walt Weiss
Detroid Tigers,"86-75,",American,Central,Brad Ausmus
Houston Astros,"84-78,",American,West,A.J. Hinch
Kansas City Royals,"81-81,",American,Central,Ned Yost
Los Angeles Angels of Anaheim,"74-88,",American,West,Mike Scioscia
Los Angeles Dodgers,"91-71,",National,West,Dave Roberts
Miami Marlins,"79-82,",National,East,Don Mattingly
Milwaukee Brewers,"73-89,",National,Central,Craig Counsell
Minnesota Twins,"59-103,",American,Central,Paul Molitor
New York Mets,"87-75,",National,East,Terry Collins
New York Yankees,"84-78,",American,East,Joe Girardi
Oakland Athletics,"69-93,",American,West,Bob Melvin
Philadelphia Phillies,"71-91,",National,East,Pete Mackanin
Pittsbugh Pirates,"78-83,",National,Central,Clint Hurdle
San Diego Padres,"68-94,",National,West,Andy Green
San Francisco Giants,"87-75,",National,West,Bruce Bochy
Seattle Mariners,"86-76,",American,West,Scott Servais
St. Louis Cardinals,"86-76,",National,Central,Mike Matheny
Tampa Bay Rays,"68-94,",American,East,Kevin Cash
Texas Rangers,"95-67,",American,West,Jeff Banister
Toronto Blue Jays,"89-73,",American,East,John Gibbons
Washington Nationals,"95-67,",National,East,Dusty Baker



players
player_id,first_name,last_name,position,bats,throws,contract_status,full_legal_name
609,Mike,Morin,Pitcher,Right,Right,Pre-Arb Eligible,Michael William Morin 
610,Al,Alburquerque,Pitcher,Right,Right,2nd-Year Arb Eligible,Alberto Jose Alburquerque 
611,Cory,Rasmus,Pitcher,Right,Right,Contract Info Unavailable,Cory Taylor Rasmus 
612,Cam,Bedrosian,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$555k (17)",Cameron Rock Bedrosian 
613,Jose,Valdez,Pitcher,Right,Right,Contract Info Unavailable,Jose (Guerrero) Valdez 
614,Garrett,Richards,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$6.85M (17)",Garrett Thomas Richards 
615,Yasmani,Grandal,Catcher and First Baseman,Both,Right,"Signed thru 2017, 1 yr/$5.5M (17)",Yasmani Grandal 
616,Adrian,Gonzalez,First Baseman,Left,Left,"Signed thru 2018, 7 yrs/$154M (12-18)",Adrian Sabin Gonzalez 
617,Chase,Utley,Second Baseman,Left,Right,"Signed thru 2017, 1 yr/$2M (17)",Chase Cameron Utley 
618,Corey,Seager,Shortstop,Left,Right,"Signed thru 2017, 1 yr/$575k (17)",Corey Drew Seager 
619,Justin,Turner,"Third Baseman, Second Baseman and Shortstop",Right,Right,"Signed thru 2020, 4 yrs/$64M (17-20)",Justin Matthew Turner 
620,Howie,Kendrick,"Second Baseman, Leftfielder and First Baseman",Right,Right,"Signed thru 2017, 2 yrs/$20M (16-17)",Howard Joseph Kendrick 
621,Joc,Pederson,Centerfielder,Left,Left,"Signed thru 2017, 1 yr/$555k (17)",Joc Russell Pederson 
622,Yasiel,Puig,Rightfielder,Right,Right,"Signed thru 2018, 7 yrs/$42M (12-18)",Yasiel (Valdes) Puig 
623,Trayce,Thompson,Outfielder,Right,Right,Pre-Arb Eligible,Trayce Nikolas Thompson 
624,Enrique,Hernandez,Shortstop,Right,Right,Contract Info Unavailable,Enzo Octavio Hernandez 
625,Josh,Reddick,Rightfielder,Left,Right,"Signed thru 2020, 4 yrs/$52M (17-20)",William Joshua Reddick 
626,A.J.,Ellis,Catcher,Right,Right,"Signed thru 2017, 1 yr/$2.5M (17)",Andrew James Ellis 
627,Andrew,Toles,Leftfielder and Pinch Hitter,Left,Right,"Signed thru 2017, 1 yr/$540k (17)",Alvin Andrew Toles 
628,Scott,Van Slyke,"Outfielder, Pinch Hitter and First Baseman",Right,Right,"Signed thru 2017, 1 yr/$1.33M (17)",Scott T. Van Slyke 
629,Carl,Crawford,Pitcher,Right,Right,Contract Info Unavailable,Carlos Lamonte Crawford 
630,Rob,Segedin,"Pinch Hitter, Outfielder and First Baseman",Right,Right,Pre-Arb Eligible,Robert Mitchell Segedin 
631,Charlie,Culberson,"Pinch Hitter, Second Baseman and Third Baseman",Right,Right,"Signed thru 2017, 1 yr/$550k (17)",Charles Edward Culberson 
632,Chris,Taylor,Pinch Runner and Outfielder,Right,Right,Contract Info Unavailable,C L Taylor 
633,Carlos,Ruiz,Catcher,Right,Right,"Signed thru 2017, 4 yrs/$30M (14-17)",Carlos Joaquin Ruiz 
634,Austin,Barnes,"Catcher, Pinch Hitter and Second Baseman",Right,Right,"Signed thru 2017, 1 yr/$540k (17)",Austin Scott Barnes 
635,Andre,Ethier,Outfielder,Left,Left,"Signed thru 2017, 6 yrs/$95.95M (12-17) & 18 vesting option",Andre Everett Ethier 
636,Will,Venable,Outfielder,Left,Left,Contract Info Unavailable,William Dion Venable 
637,Micah,Johnson,Pitcher,Right,Right,Contract Info Unavailable,Michael Norton Johnson 
638,Zach,Walters,"Pinch Hitter, Leftfielder and Shortstop",Both,Right,Pre-Arb Eligible,Zachary Butler Walters 
639,Kenta,Maeda,Pitcher,Right,Right,"Signed thru 2023, 8 yrs/$25M (16-23)",Kenta Maeda 
640,Scott,Kazmir,Pitcher,Left,Left,"Signed thru 2018, 3 yrs/$48M (16-18)",Scott Edward Kazmir 
641,Clayton,Kershaw,Pitcher,Left,Left,"Signed thru 2020, 7 yrs/$215M (14-20)",Clayton Edward Kershaw 
642,Ross,Stripling,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$540k (17)",Thomas Ross Stripling 
643,Julio,Urias,Pitcher,Left,Left,Pre-Arb Eligible,Julio Cesar (Acosta) Urias 
644,Alex,Wood
645,Brandon,McCarthy,Pitcher,Right,Right,"Signed thru 2018, 4 yrs/$48M (15-18)",Brandon Patrick McCarthy 
646,Rich,Hill,Pitcher,Left,Left,"Signed thru 2019, 3 yrs/$48M (17-19)",Richard Joseph Hill 
647,Brock,Stewart,Pitcher,Left,Right,"Signed thru 2017, 1 yr/$538k (17)",Brock Allen Stewart 
648,Mike,Bolsinger,Pitcher,Right,Right,Pre-Arb Eligible,Michael P. Bolsinger 
649,Jose,De Leon,Pitcher,Right,Right,Contract Info Unavailable,Jose (Chestaro) DeLeon 
650,Chris,Hatcher,Leftfielder and Pinch Hitter,Right,Right,Contract Info Unavailable,Christopher Kenneth Hatcher 
651,Brett,Anderson,Outfielder,Left,Left,Contract Info Unavailable,Brady Kevin Anderson 
652,J.P.,Howell,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$3M (17)",James Phillip Howell 
653,Carlos,Frias,Pitcher,Right,Right,Pre-Arb Eligible,Carlos David Frias 
654,Hyun-Jin,Ryu,Pitcher,Right,Left,"Signed thru 2018, 6 yrs/$36M (13-18)",Hyun-Jin Ryu 
655,Nick,Tepesch,Pitcher,Right,Right,1st Year Arb Eligible (Super 2),Nicholas James Tepesch 
656,Grant,Dayton,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$540k (17)",Grant A. Dayton 
657,Pedro,Baez,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$550k (17)",Pedro Alberys (De La Cruz) Baez 
658,Luis,Avilan,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$1.5M (17)",Luis Armando Avilan 
659,Louis,Coleman,Pitcher,Right,Right,2nd-Year Arb Eligible,Harold Louis Coleman 
660,Chin-hui,Tsao,Pitcher,Right,Right,Contract Info Unavailable,Chin-hui Tsao 
661,Adam,Liberatore,Pitcher,Left,Left,Pre-Arb Eligible,Adam Joseph Liberatore 
662,Yimi,Garcia,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$555k (17)",Yimi Garcia 
663,Kenley,Jansen,Pitcher,Both,Right,"Signed thru 2021, 5 yrs/$80M (17-21)",Kenley Geronimo Jansen 
664,Joe,Blanton,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$4M (17)",Joseph Matthew Blanton 
665,Jesse,Chavez,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$5.75M (17)",Jesse David Chavez 
666,Casey,Fien,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.1M (17)",Casey Michael Fien 
667,Josh,Ravin,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$545k (17)",Joshua Joseph Ravin 
668,J.T.,Realmuto,Catcher,Right,Right,"Signed thru 2017, 1 yr/$563k (17)",Jacob Tyler Realmuto 
669,Justin,Bour,First Baseman,Left,Right,"Signed thru 2017, 1 yr/$553k (17)",Justin James Bour 
670,Dee,Gordon,Second Baseman and Shortstop,Left,Right,"Signed thru 2020, 5 yrs/$50M (16-20) & 21 team option",Devaris Gordon 
671,Adeiny,Hechavarria,Shortstop,Right,Right,"Signed thru 2017, 1 yr/$4.35M (17)",Adeiny (Barrera) Hechavarria 
672,Martin,Prado,"Third Baseman, Second Baseman and Leftfielder",Right,Right,"Signed thru 2019, 3 yrs/$40M (17-19)",Martin Manuel Prado 
673,Christian,Yelich,Leftfielder,Left,Right,"Signed thru 2021, 7 yrs/$49.57M (15-21) & 22 team option",Christian Stephen Yelich 
674,Marcell,Ozuna,Centerfielder,Right,Right,"Signed thru 2017, 1 yr/$3.5M (17)",Marcell (Idelfonso) Ozuna 
675,Giancarlo,Stanton
676,Derek,Dietrich,"Second Baseman, Leftfielder and Third Baseman",Left,Right,"Signed thru 2017, 1 yr/$1.7M (17)",Derek Richard Dietrich 
677,Ichiro,Suzuki,Rightfielder,Left,Right,"Signed thru 2017, 2 yrs/$4M (16-17) & 18 team option",Ichiro Suzuki 
678,Chris,Johnson,Centerfielder,Left,Left,Contract Info Unavailable,Charles Cleveland Johnson 
679,Miguel,Rojas,Pitcher,Right,Right,Contract Info Unavailable,Minervino Alejandro (Landin) Rojas 
680,Jeff,Mathis,Catcher,Right,Right,"Signed thru 2018, 2 yrs/$4M (17-18)",Jeffrey Stephen Mathis 
681,Xavier,Scruggs,"First Baseman, Pinch Hitter and Leftfielder",Right,Right,Contract Info Unavailable,Xavier Ladel Scruggs 
682,Cole,Gillespie,Outfielder and Pinch Hitter,Right,Right,1st Year Arb Eligible (Super 2),Cole Braden Gillespie 
683,Don,Kelly,"Outfielder, Third Baseman and First Baseman",Left,Right,Contract Info Unavailable,Donald Thomas Kelly 
684,Destin,Hood,Leftfielder and Pinch Hitter,Right,Right,Pre-Arb Eligible,Destin Dwane Hood 
685,Robert,Andino,"Second Baseman, Shortstop and Third Baseman",Right,Right,3rd-Year Arb Eligible,Robert Lazaro Andino 
686,Tomas,Telis,Catcher and Pinch Hitter,Both,Right,Pre-Arb Eligible,Tomas Telis 
687,Yefri,Perez,"Pinch Runner, Shortstop and Second Baseman",Both,Right,Pre-Arb Eligible,Yefri (Martinez) Perez 
688,Oswaldo,Arcia,Outfielder,Left,Right,1st-Year Arb Eligible,Oswaldo Celestino Arcia 
689,Jose,Fernandez,"Designated Hitter, Third Baseman and First Baseman",Right,Right,Contract Info Unavailable,Jose Mayobanex (Rojas) Fernandez 
690,Tom,Koehler,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$5.75M (17)",Thomas R. Koehler 
691,Wei-Yin,Chen,Pitcher,Right,Left,"Signed thru 2017, 2 yrs/$28M (16-17) & 18-21 player/vesting option",Wei-Yin Chen 
692,Adam,Conley,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$538k (17)",Adam Michael Conley 
693,Justin,Nicolino,Pitcher,Left,Left,Pre-Arb Eligible,Justin Brian Nicolino 
694,Jose,Urena,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Jose Miguel (Rodriguez) Urena 
695,Andrew,Cashner,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$10M (17)",Andrew Burton Cashner 
696,David,Phelps,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$4.6M (17)",David Edward Phelps 
697,Jarred,Cosart,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$566k (17)",Jarred Lynn Cosart 
698,Jake,Esch,Pitcher,Right,Right,Pre-Arb Eligible,Jacob Otto Esch 
699,Dustin,McGowan,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.75M (17)",Dustin Michael McGowan 
700,Chris,Narveson,Pitcher,Left,Left,2nd-Year Arb Eligible,Christopher Gregg Narveson 
701,Paul,Clemens,Pitcher,Right,Left,Contract Info Unavailable,Patrick Brian Clements 
702,Colin,Rea,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$546k (17)",Colin D. Rea 
703,Kendry,Flores,Pitcher,Right,Right,Contract Info Unavailable,Kendry (Mateo) Flores 
704,Kyle,Barraclough,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$537k (17)",Kyle David Barraclough 
705,Brian,Ellington,Pitcher,Left,Left,Contract Info Unavailable,Harold Bruce Ellingsen 
706,Bryan,Morris,Pitcher,Left,Right,2nd-Year Arb Eligible,Avery Bryan Morris 
707,Austin,Brice,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Austin Robert Brice 
708,Craig,Breslow,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$1.25M (17)",Craig Andrew Breslow 
709,Cody,Hall,Pitcher,Right,Right,Contract Info Unavailable,Cody Kevin Hall 
710,Jo-Jo,Reyes,Shortstop and Third Baseman,Both,Right,"Signed thru 2017, 1 yr/$22M (17)",Jose Bernabe Reyes 
711,A.J.,Ramos,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$6.55M (17)",Alejandro (Hinjos) Ramos 
712,Fernando,Rodney,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.75M (17)",Fernando Rodney 
713,Nick,Wittgren,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Nicholas James Wittgren 
714,Mike,Dunn,Pitcher,Left,Left,"Signed thru 2019, 3 yrs/$19M (17-19) & 20 team option",Michael Glen Dunn 
715,Nefi,Ogando,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$537k (17)",Nefi Ismael Ogando 
716,Edwin,Jackson,Pitcher,Right,Right,Contract Info Unavailable,Edwin Jackson 
717,Jonathan,Lucroy,Catcher and First Baseman,Right,Right,"Signed thru 2017, 6 yrs/$15.5M (12-17)",Jonathan Charles Lucroy 
718,Chris,Carter,Pinch Hitter and Outfielder,Left,Left,Contract Info Unavailable,William Christopher Carter 
719,Scooter,Gennett,Second Baseman,Left,Right,"Signed thru 2017, 1 yr/$2.53M (17)",Ryan Joseph Gennett 
720,Jonathan,Villar,"Shortstop, Third Baseman and Second Baseman",Both,Right,"Signed thru 2017, 1 yr/$555k (17)",Jonathan Rafael (Roque) Villar 
721,Ryan,Braun,Pitcher,Right,Right,Contract Info Unavailable,Ryan Zachary Braun 
722,Kirk,Nieuwenhuis,Outfielder and Pinch Hitter,Left,Right,"Signed thru 2017, 1 yr/$900k (17)",Kirk Robert Nieuwenhuis 
723,Domingo,Santana,Outfielder,Right,Right,"Signed thru 2017, 1 yr/$542k (17)",Domingo Alberto Santana 
724,Hernan,Perez,"Third Baseman, Second Baseman and Rightfielder",Right,Right,"Signed thru 2017, 1 yr/$546k (17)",Hernan Alejandro Perez 
725,Ramon,Flores,Pitcher,Left,Left,Contract Info Unavailable,Randy Alan Flores 
726,Martin,Maldonado,Catcher and First Baseman,Right,Right,"Signed thru 2017, 1 yr/$1.73M (17)",Martin Benjamin (Valdes) Maldonado 
727,Keon,Broxton,Centerfielder,Right,Right,"Signed thru 2017, 1 yr/$541k (17)",Keon Darell Broxton 
728,Orlando,Arcia,Shortstop,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Orlando Jesus Arcia 
729,Jake,Elmore,"Pinch Hitter, Shortstop and Leftfielder",Right,Right,Pre-Arb Eligible,Jacob David Elmore 
730,Manny,Pina,Catcher and Pinch Hitter,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Manuel Elias (Reyes) Pina 
731,Yadiel,Rivera,"Second Baseman, Third Baseman and Shortstop",Right,Right,Pre-Arb Eligible,Yadiel Rivera 
732,Colin,Walsh,Pitcher,Unknown,Right,Contract Info Unavailable,Cornelius Robert Walsh 
733,Will,Middlebrooks,Third Baseman,Right,Right,1st-Year Arb Eligible,William Scott Middlebrooks 
734,Andy,Wilkins,Pinch Hitter and First Baseman,Left,Right,Contract Info Unavailable,Andrew Robert Wilkins 
735,Michael,Reed,Shortstop and Second Baseman,Left,Right,Contract Info Unavailable,Milton D. Reed 
736,Andrew,Susac,Catcher,Right,Right,"Signed thru 2017, 1 yr/$537k (17)",Andrew John Susac 
737,Josmil,Pinto,Catcher and Designated Hitter,Right,Right,Contract Info Unavailable,Josmil Oswaldo Pinto 
738,Zach,Davies
739,Jimmy,Nelson,Pitcher,Right,Right,Contract Info Unavailable,James Lorin Nelson 
740,Chase,Anderson,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.45M (17)",Robert Chase Anderson 
741,Junior,Guerra,"Pinch Hitter, Shortstop and Third Baseman",Right,Right,Contract Info Unavailable,Juan Antonio (De La Cruz) Guerrero 
742,Wily,Peralta,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$4.28M (17)",Wily Peralta 
743,Matt,Garza,Pitcher,Right,Right,"Signed thru 2017, 4 yrs/$50M (14-17) & 18 vesting option",Matthew Scott Garza 
744,Taylor,Jungmann,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Taylor Heath Jungmann 
745,Tyler,Cravy,Pitcher,Right,Right,Pre-Arb Eligible,Tyler Jay Cravy 
746,Jhan,Marinez,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$540k (17)",Jhan Carlos (Fuente) Marinez 
747,Brent,Suter,Pitcher,Left,Left,Pre-Arb Eligible,Brent Michael Suter 
748,Chris,Capuano,Pitcher,Left,Left,Contract Info Unavailable,Christopher Frank Capuano 
749,Blaine,Boyer,Pitcher,Right,Right,Free Agent,Blaine Thomas Boyer 
750,Michael,Kirkman,Pitcher,Left,Left,Contract Info Unavailable,Michael Scott Kirkman 
751,Corey,Knebel,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$539k (17)",Corey Andrew Knebel 
752,Jeremy,Jeffress,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.1M (17)",Jeremy Ross Jeffress 
753,David,Goforth,Pitcher,Right,Right,Pre-Arb Eligible,David Paul Goforth 
754,Ben,Rowen,Pitcher,Right,Right,Pre-Arb Eligible,Benjamin Ramon Rowen 
755,Damien,Magnifico,Pitcher,Right,Right,Pre-Arb Eligible,Damien Jack Magnifico 
756,Sam,Freeman,Pitcher,Right,Left,Pre-Arb Eligible,Samuel Douglas Freeman 
757,Rob,Scahill,Pitcher,Left,Right,Pre-Arb Eligible,Robert Joseph Scahill 
758,Carlos,Torres,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.18M (17)",Carlos Ephriam Torres 
759,Michael,Blazek,Pitcher,Right,Right,Pre-Arb Eligible,Michael Robert Blazek 
760,Will,Smith,Catcher and First Baseman,Left,Right,Contract Info Unavailable,Wilbur Floyd Smith 
761,Tyler,Thornburg,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.05M (17)",Tyler Michael Thornburg 
762,Ariel,Pena,Pitcher,Right,Right,Contract Info Unavailable,Ariel (Mora) Pena 
763,Jacob,Barnes,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Jacob Andrew Barnes 
764,Kurt,Suzuki,Catcher,Right,Right,"Signed thru 2017, 1 yr/$1.5M (17)",Kurt Kiyoshi Suzuki 
765,Joe,Mauer,Catcher and First Baseman,Left,Right,"Signed thru 2018, 8 yrs/$184M (11-18)",Joseph Patrick Mauer 
766,Brian,Dozier,Second Baseman and Shortstop,Right,Right,"Signed thru 2018, 4 yrs/$20M (15-18)",James Brian Dozier 
767,Eduardo,Escobar,Pitcher,Left,Left,Contract Info Unavailable,Edwin Jose Escobar 
768,Trevor,Plouffe,"Third Baseman, Shortstop and First Baseman",Right,Right,"Signed thru 2017, 1 yr/$5.25M (17)",Trevor Patrick Plouffe 
769,Robbie,Grossman,Leftfielder,Both,Left,"Signed thru 2017, 1 yr/$553k (17)",Robert Edward Grossman 
770,Byron,Buxton,Centerfielder,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Byron Keiron Buxton 
771,Max,Kepler,Rightfielder,Left,Left,"Signed thru 2017, 1 yr/$548k (17)",Maximilian Kepler 
772,Miguel,Sano,"Designated Hitter, Third Baseman and Rightfielder",Right,Right,"Signed thru 2017, 1 yr/$573k (17)",Miguel Angel (Jean) Sano 
773,Eduardo,Nunez,Pitcher,Right,Right,Contract Info Unavailable,Edwin (Martinez) Nunez 
774,Eddie,Rosario,Outfielder,Left,Right,"Signed thru 2017, 1 yr/$553k (17)",Eddie Manuel Rosario 
775,Jorge,Polanco,"Shortstop, Third Baseman and Second Baseman",Both,Right,"Signed thru 2017, 1 yr/$540k (17)",Jorge Luis (Pacheco) Polanco 
776,Danny,Santana,Centerfielder and Shortstop,Both,Right,"Signed thru 2017, 1 yr/$545k (17)",Daniel Ernesto Santana 
777,Byung,Ho Park
778,Juan,Centeno,Catcher,Left,Right,Pre-Arb Eligible,Juan C. Centeno 
779,Kennys,Vargas,Designated Hitter and First Baseman,Both,Right,"Signed thru 2017, 1 yr/$540k (17)",Kennys Vargas 
780,John,Ryan Murphy
781,Logan,Schafer,Outfielder and Pinch Hitter,Left,Left,1st Year Arb Eligible (Super 2),Logan Edward Schafer 
782,James,Beresford,"First Baseman, Third Baseman and Second Baseman",Left,Right,Contract Info Unavailable,James Richard Beresford 
783,Darin,Mastroianni,Outfielder,Right,Right,Contract Info Unavailable,Darin Paul Mastroianni 
784,Kyle,Gibson,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.9M (17)",Kyle Benjamin Gibson 
785,Ervin,Santana,Pitcher,Right,Right,"Signed thru 2018, 4 yrs/$55M (15-18) & 19 team option",Ervin Ramon Santana 
786,Tyler,Duffey,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$543k (17)",Tyler Blinn Duffey 
787,Phil,Hughes,Pitcher,Right,Right,"Signed thru 2019, 5 yrs/$58M (15-19)",Philip Joseph Hughes 
788,Michael,Tonkin,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$543k (17)",Michael Harvey Tonkin 
789,Tommy,Milone,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$1.25M (17)",Tomaso Anthony Milone 
790,Jose,Berrios,Pitcher,Right,Right,Pre-Arb Eligible,Jose Orlando Berrios 
791,Ryan,O'Rourke,Pitcher,Right,Left,"Signed thru 2017, 1 yr/$540k (17)",Ryan Patrick O'Rourke 
792,J.R.,Graham,Pitcher,Right,Right,Pre-Arb Eligible,Johnathan Ryan Graham 
793,Alex,Wimmers,Pitcher,Left,Right,Pre-Arb Eligible,Alex Michael Wimmers 
794,Buddy,Boshers,Pitcher,Left,Left,Pre-Arb Eligible,Jeffrey Alan Boshers 
795,Kevin,Jepsen,Pitcher,Right,Right,Contract Info Unavailable,Kevin Martin Jepsen 
796,Glen,Perkins,Pitcher,Left,Left,"Signed thru 2017, 4 yrs/$22.18M (14-17) & 18 team option",Glen Weston Perkins 
797,Trevor,May,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$555k (17)",Trevor J. May 
798,Ryan,Pressly,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.18M (17)",Thomas Ryan Pressly 
799,Pat,Dean,Pitcher,Right,Right,Contract Info Unavailable,Paul Dee Dean 
800,Andrew,Albers,Pitcher,Right,Left,Pre-Arb Eligible,Andrew William Albers 
801,Brandon,Kintzler,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$2.93M (17)",Brandon Lee Kintzler 
802,J.T.,Chargois,Pitcher,Both,Right,Pre-Arb Eligible,Jon Thomas Chargois 
803,Adalberto,Mejia,Pitcher,Right,Left,"Signed thru 2017, 1 yr/$535k (17)",Adalberto Mejia 
804,Taylor,Rogers,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$543k (17)",Taylor Allen Rogers 
805,Travis,d'Arnaud,Catcher,Right,Right,"Signed thru 2017, 1 yr/$1.88M (17)",Travis E. d'Arnaud 
806,James,Loney,First Baseman,Left,Left,Free Agent,James Anthony Loney 
807,Neil,Walker,Second Baseman,Both,Right,"Signed thru 2017, 1 yr/$17.2M (17)",Neil Martin Walker 
808,Asdrubal,Cabrera,Shortstop and Second Baseman,Both,Right,"Signed thru 2017, 2 yrs/$18.5M (16-17) & 18 team option",Asdrubal Jose Cabrera 
809,Jose,Reyes,Pinch Hitter and Catcher,Both,Right,Contract Info Unavailable,Jose Ariel (Ramirez) Reyes 
810,Michael,Conforto,Leftfielder,Left,Right,"Signed thru 2017, 1 yr/$555k (17)",Michael Thomas Conforto 
811,Yoenis,Cespedes,Leftfielder,Right,Right,"Signed thru 2020, 4 yrs/$110M (17-20)",Yoenis (Milanes) Cespedes 
812,Curtis,Granderson,Centerfielder,Left,Right,"Signed thru 2017, 4 yrs/$60M (14-17)",Curtis Granderson 
813,Wilmer,Flores,"Shortstop, Third Baseman and Second Baseman",Right,Right,"Signed thru 2017, 1 yr/$2.2M (17)",Wilmer Alejandro (Garcia) Flores 
814,Alejandro,De Aza,Outfielder,Left,Left,Contract Info Unavailable,Alejandro Alberto (Ceda) De Aza 
815,Rene,Rivera,Catcher,Right,Right,"Signed thru 2017, 1 yr/$1.75M (17)",Rene Rivera 
816,Lucas,Duda,First Baseman and Outfielder,Left,Right,"Signed thru 2017, 1 yr/$7.25M (17)",Lucas Christopher Duda 
817,David,Wright,Pitcher,Right,Right,Contract Info Unavailable,Jonathan Daniel Wright 
818,Juan,Lagares,Centerfielder,Right,Right,"Signed thru 2019, 5 yrs/$23.03M (15-19)",Juan Osvaldo Lagares 
819,Kevin,Plawecki,Catcher,Right,Right,Pre-Arb Eligible,Kevin Jeffrey Plawecki 
820,T.J.,Rivera,Second Baseman and Third Baseman,Right,Right,"Signed thru 2017, 1 yr/$540k (17)",Thomas Javier Rivera 
821,Matt,Reynolds,Pitcher,Left,Left,2nd-Year Arb Eligible,Matthew Paul Reynolds 
822,Eric,Campbell,"Third Baseman, Pinch Hitter and First Baseman",Right,Right,Contract Info Unavailable,Eric Singleton Campbell 
823,Brandon,Nimmo,Outfielder and Pinch Hitter,Left,Right,"Signed thru 2017, 1 yr/$536k (17)",Brandon Tate Nimmo 
824,Ty,Kelly,"Pinch Hitter, Leftfielder and Third Baseman",Both,Right,"Signed thru 2017, 1 yr/$537k (17)",Tyler Patrick Kelly 
825,Justin,Ruggiano,Outfielder,Right,Right,3rd-Year Arb Eligible,Justin Marshall Ruggiano 
826,Gavin,Cecchini,Third Baseman and First Baseman,Left,Right,Pre-Arb Eligible,Garin Glenn Cecchini 
827,Noah,Syndergaard,Pitcher,Left,Right,"Signed thru 2017, 1 yr/$606k (17)",Noah Seth Syndergaard 
828,Bartolo,Colon,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$12.5M (17)",Bartolo Colon 
829,Jacob,deGrom,Pitcher,Left,Right,"Signed thru 2017, 1 yr/$4.05M (17)",Jacob Anthony deGrom 
830,Steven,Matz,Pitcher,Right,Left,"Signed thru 2017, 1 yr/$562k (17)",Steven Jakob Matz 
831,Matt,Harvey,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$5.13M (17)",Matthew Edward Harvey 
832,Logan,Verrett,Pitcher,Right,Right,Pre-Arb Eligible,Scott Logan Verrett 
