teams
team_name,record,conference,division,manager
Arizona Diamondbacks,"69-93,",National,West,Chip Hale
Atlanta Braves,"68-93,",National,East,Fredi Gonzalez
Baltimore Orioles,"89-73,",American,East,Buck Showalter
Boston Red Sox,"93-69,",American,East,John Farrell
Chicago Cubs,"103-58,",National,Central,Joe Maddon
Chicago White Sox,"78-84,",American,Central,Robin Ventura
Cincinnati Reds,"68-94,",National,Central,Bryan Price
Cleveland Indians,"94-67,",American,Central,Terry Francona
Colorado Rockies,"75-87,",National,West,Walt Weiss
Detroid Tigers,"86-75,",American,Central,Brad Ausmus
Houston Astros,"84-78,",American,West,A.J. Hinch
Kansas City Royals,"81-81,",American,Central,Ned Yost
Los Angeles Angels of Anaheim,"74-88,",American,West,Mike Scioscia
Los Angeles Dodgers,"91-71,",National,West,Dave Roberts
Miami Marlins,"79-82,",National,East,Don Mattingly
Milwaukee Brewers,"73-89,",National,Central,Craig Counsell
Minnesota Twins,"59-103,",American,Central,Paul Molitor
New York Mets,"87-75,",National,East,Terry Collins
New York Yankees,"84-78,",American,East,Joe Girardi
Oakland Athletics,"69-93,",American,West,Bob Melvin
Philadelphia Phillies,"71-91,",National,East,Pete Mackanin
Pittsbugh Pirates,"78-83,",National,Central,Clint Hurdle
San Diego Padres,"68-94,",National,West,Andy Green
San Francisco Giants,"87-75,",National,West,Bruce Bochy
Seattle Mariners,"86-76,",American,West,Scott Servais
St. Louis Cardinals,"86-76,",National,Central,Mike Matheny
Tampa Bay Rays,"68-94,",American,East,Kevin Cash
Texas Rangers,"95-67,",American,West,Jeff Banister
Toronto Blue Jays,"89-73,",American,East,John Gibbons
Washington Nationals,"95-67,",National,East,Dusty Baker



players
player_id,first_name,last_name,position,bats,throws,contract_status,full_legal_name
37,Josh,Collmenter,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.2M (17)",Joshua Michael Collmenter 
38,Andrew,Chafin,Pitcher,Right,Left,"Signed thru 2017, 1 yr/$554k (17)",Andrew Gregory Chafin 
39,Dominic,Leone,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$548k (17)",Dominic Joseph Leone 
40,Tyler,Clippard,Pitcher,Right,Right,"Signed thru 2017, 2 yrs/$12.25M (16-17)",Tyler Lee Clippard 
41,Adam,Loewen,Pitcher and Outfielder,Left,Left,1st-Year Arb Eligible,Adam A. Loewen 
42,Jake,Barrett,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$544k (17)",Jake Dalton Barrett 
43,Zac,Curtis,Pitcher,Left,Left,Pre-Arb Eligible,Zachary Aaron Curtis 
44,Daniel,Hudson,Pitcher,Right,Right,"Signed thru 2018, 2 yrs/$11M (17-18)",Daniel Claiborne Hudson 
45,Kyle,Drabek,Pitcher,Right,Right,Contract Info Unavailable,Kyle Jordan Drabek 
46,Keith,Hessler,Pitcher,Left,Left,Pre-Arb Eligible,Keith Alexander Hessler 
47,Evan,Marshall,Pitcher,Right,Right,Pre-Arb Eligible,Evan Patrick Marshall 
48,Brad,Ziegler,Pitcher,Right,Right,"Signed thru 2018, 2 yrs/$16M (17-18)",Brad Gregory Ziegler 
49,Steve,Hathaway,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$538k (17)",Steven Ryland Hathaway 
50,Tyler,Flowers,Catcher,Right,Right,"Signed thru 2017, 2 yrs/$5.3M (16-17) & 18 team option",Cole Tyler Flowers 
51,Freddie,Freeman,First Baseman,Left,Right,"Signed thru 2021, 8 yrs/$135M (14-21)",Frederick Charles Freeman 
52,Jace,Peterson,"Second Baseman, Leftfielder and Third Baseman",Left,Right,"Signed thru 2017, 1 yr/$555k (17)",Jace Ryan Peterson 
53,Erick,Aybar,Shortstop and Second Baseman,Both,Right,"Signed thru 2017, 1 yr/$1.75M (17)",Erick Johan Aybar 
54,Adonis,Garcia,Third Baseman and Leftfielder,Right,Right,"Signed thru 2017, 1 yr/$548k (17)",Adonis (Arrieta) Garcia 
55,Matt,Kemp,Outfielder,Right,Right,"Signed thru 2019, 8 yrs/$160M (12-19)",Matthew Ryan Kemp 
56,Ender,Inciarte,Outfielder,Left,Left,"Signed thru 2021, 5 yrs/$30.53M (17-21) & 22 team option",Ender David (Montiel) Inciarte 
57,Nick,Markakis,Rightfielder,Left,Left,"Signed thru 2018, 4 yrs/$44M (15-18)",Nicholas William Markakis 
58,Jeff,Francoeur,Pitcher,Left,Left,Contract Info Unavailable,Jeffrey William Francis 
59,Gordon,Beckham,Second Baseman and Third Baseman,Right,Right,Free Agent,James Gordon Beckham 
60,Chase,d'Arnaud,"Shortstop, Third Baseman and Leftfielder",Right,Right,"Signed thru 2017, 1 yr/$600k (17)",Chase Jonathan d'Arnaud 
61,A.J.,Pierzynski
62,Mallex,Smith,Outfielder,Left,Right,Contract Info Unavailable,Edward Mayo Smith 
63,Dansby,Swanson,Shortstop,Right,Right,"Signed thru 2017, 1 yr/$540k (17)",James Dansby Swanson 
64,Daniel,Castro,"Shortstop, Second Baseman and Third Baseman",Right,Right,Pre-Arb Eligible,Daniel Alejandro Castro 
65,Kelly,Johnson,Pitcher and Pinch Runner,Left,Left,Contract Info Unavailable,Kenneth Wandersee Johnson 
66,Anthony,Recker,Catcher,Right,Right,"Signed thru 2017, 1 yr/$800k (17)",Anthony Vito Recker 
67,Brandon,Snyder,Pitcher,Left,Left,Contract Info Unavailable,Brian Robert Snyder 
68,Emilio,Bonifacio,"Outfielder, Second Baseman and Third Baseman",Both,Right,"Signed thru 2017, 1 yr/$1.25M (17)",Emilio Jose Bonifacio 
69,Drew,Stubbs,Centerfielder,Right,Right,Free Agent,Robert Andrew Stubbs 
70,Reid,Brignac,"Shortstop, Second Baseman and Third Baseman",Both,Right,2nd-Year Arb Eligible,Reid Michael Brignac 
71,Hector,Olivera,Third Baseman and Leftfielder,Right,Right,"Signed thru 2020, 6 yrs/$62.5M (15-20)",Hector (Amaro) Olivera 
72,Blake,Lalli,"Pinch Hitter, First Baseman and Catcher",Left,Right,Pre-Arb Eligible,Blake Thomas Lalli 
73,Rio,Ruiz,Pinch Hitter and Third Baseman,Left,Right,Pre-Arb Eligible,Rio Noble Ruiz 
74,Matt,Tuiasosopo,"Leftfielder, Third Baseman and First Baseman",Right,Right,Pre-Arb Eligible,Matthew Petelu Tuiasosopo 
75,Julio,Teheran,Pitcher,Right,Right,"Signed thru 2019, 6 yrs/$32.4M (14-19) & 20 team option",Julio Alberto (Pinto) Teheran 
76,Matt,Wisler,Pitcher,Right,Right,Pre-Arb Eligible,Matthew Robert Wisler 
77,Mike,Foltynewicz,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$544k (17)",Michael Gary Foltynewicz 
78,Aaron,Blair,Pitcher,Right,Right,Pre-Arb Eligible,Aaron Daniel Blair 
79,Bud,Norris,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.75M (17)",David Stefan Norris 
80,Williams,Perez,Pitcher,Right,Right,Pre-Arb Eligible,Williams David (Montes) Perez 
81,Joel,De La Cruz,Pitcher,Right,Right,Pre-Arb Eligible,Joel (Santos) De La Cruz 
82,Tyrell,Jenkins,Pitcher,Right,Right,Pre-Arb Eligible,Tyrell Deon Jenkins 
83,Robert,Whalen,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Robert D. Whalen 
84,John,Gant,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$537k (17)",John Michael Gant 
85,Lucas,Harrell,Pitcher,Both,Right,1st-Year Arb Eligible,Lucas William Bradley Harrell 
86,Jhoulys,Chacin,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.75M (17)",Jhoulys Jose (Molina) Chacin 
87,Ryan,Weber,Pitcher,Right,Right,Pre-Arb Eligible,James Ryan Weber 
88,Roberto,Hernandez,Pitcher,Right,Right,Contract Info Unavailable,Roberto Manuel (Rodriguez) Hernandez 
89,Casey,Kelly,Pitcher,Right,Right,Contract Info Unavailable,Casey Patrick Kelly 
